#Reference Reaction :   238U(n,f) 
#Neutron        Cross          Uncertainty    Uncertainty      
#energy         section        (barn)         (%)              
#(MeV)          (barn) 
 0.5000E+00     0.00026980     0.00002049     7.6
 0.5200E+00     0.00067119     0.00010438    15.6
 0.5400E+00     0.00059598     0.00002249     3.8
 0.5700E+00     0.00065116     0.00002441     3.7
 0.6000E+00     0.00116531     0.00003694     3.2
 0.6500E+00     0.00129202     0.00002922     2.3
 0.7000E+00     0.00184360     0.00004329     2.3
 0.7500E+00     0.00264695     0.00004879     1.8
 0.8000E+00     0.00450784     0.00008038     1.8
 0.8500E+00     0.00675016     0.00010401     1.5
 0.9000E+00     0.01378015     0.00017266     1.3
 0.9400E+00     0.01690077     0.00021365     1.3
 0.9600E+00     0.01550547     0.00023027     1.5
 0.9800E+00     0.01588961     0.00021990     1.4
 0.1000E+01     0.01410576     0.00015131     1.1
 0.1100E+01     0.02895309     0.00029119     1.0
 0.1250E+01     0.03320903     0.00032341     1.0
 0.1400E+01     0.18619023     0.00134738     0.7
 0.1600E+01     0.41835630     0.00262918     0.6
 0.1800E+01     0.48206710     0.00302871     0.6
 0.2000E+01     0.53553997     0.00290432     0.5
 0.2200E+01     0.54749355     0.00301741     0.6
 0.2400E+01     0.54624349     0.00311783     0.6
 0.2600E+01     0.54151562     0.00300113     0.6
 0.2800E+01     0.53708920     0.00344929     0.6
 0.3000E+01     0.52481337     0.00290484     0.6
 0.3600E+01     0.54752327     0.00298915     0.5
 0.4000E+01     0.55451845     0.00307938     0.6
 0.4500E+01     0.55921914     0.00360237     0.6
 0.4700E+01     0.55980956     0.00358805     0.6
 0.5000E+01     0.54833662     0.00362927     0.7
 0.5300E+01     0.55240729     0.00400621     0.7
 0.5500E+01     0.54820060     0.00365471     0.7
 0.5800E+01     0.56779697     0.00415490     0.7
 0.6000E+01     0.61392195     0.00463600     0.8
 0.6200E+01     0.68694589     0.00555936     0.8
 0.6500E+01     0.82159525     0.00612914     0.7
 0.7000E+01     0.95004294     0.00688432     0.7
 0.7500E+01     0.99851630     0.00719061     0.7
 0.7750E+01     0.99569271     0.00859903     0.9
 0.8000E+01     1.01920402     0.00773614     0.8
 0.8500E+01     1.01472289     0.00729852     0.7
 0.9000E+01     1.01452311     0.00729594     0.7
 0.1000E+02     1.01117324     0.00815660     0.8
 0.1100E+02     1.00882950     0.00806416     0.8
 0.1150E+02     1.00505332     0.00962545     1.0
 0.1200E+02     0.98752794     0.00864000     0.9
 0.1300E+02     1.03156514     0.00748159     0.7
 0.1400E+02     1.14994058     0.00674434     0.6
 0.1450E+02     1.19263970     0.00570974     0.5
 0.1500E+02     1.24300610     0.00834980     0.7
 0.1600E+02     1.32225423     0.01067722     0.8
 0.1700E+02     1.32703520     0.01146856     0.9
 0.1800E+02     1.32162220     0.01263919     1.0
 0.1900E+02     1.35796397     0.01082061     0.8
 0.2000E+02     1.40707482     0.01487632     1.1
 0.2100E+02     1.51901925     0.01428978     0.9
 0.2200E+02     1.55512900     0.02590652     1.7
 0.2300E+02     1.60213378     0.01836317     1.1
 0.2400E+02     1.54300822     0.02226853     1.4
 0.2500E+02     1.57505132     0.01699061     1.1
 0.2600E+02     1.58626925     0.02641331     1.7
 0.2700E+02     1.56289817     0.02127290     1.4
 0.2800E+02     1.62440482     0.02271004     1.4
 0.2900E+02     1.61076480     0.02358701     1.5
 0.3000E+02     1.65532032     0.01967756     1.2
 0.3200E+02     1.70277087     0.02992725     1.8
 0.3400E+02     1.69981759     0.02426689     1.4
 0.3600E+02     1.65676440     0.02619886     1.6
 0.3800E+02     1.63970023     0.03118292     1.9
 0.4000E+02     1.66526066     0.02826156     1.7
 0.4200E+02     1.65841277     0.02867969     1.7
 0.4400E+02     1.65557833     0.02690437     1.6
 0.4600E+02     1.68089904     0.03005004     1.8
