cos_theta_center,cos_theta_det_center,counts,omega
0.0050000000,0.0250000000,0,0.0000000000
0.0050000000,0.0750000000,0,0.0000000000
0.0050000000,0.1250000000,0,0.0000000000
0.0050000000,0.1750000000,0,0.0000000000
0.0050000000,0.2250000000,0,0.0000000000
0.0050000000,0.2750000000,4093,0.0000818600
0.0050000000,0.3250000000,15842,0.0003168400
0.0050000000,0.3750000000,23801,0.0004760200
0.0050000000,0.4250000000,26231,0.0005246200
0.0050000000,0.4750000000,28354,0.0005670800
0.0050000000,0.5250000000,31402,0.0006280400
0.0050000000,0.5750000000,35980,0.0007196000
0.0050000000,0.6250000000,45392,0.0009078400
0.0050000000,0.6750000000,79992,0.0015998400
0.0050000000,0.7250000000,39566,0.0007913200
0.0050000000,0.7750000000,0,0.0000000000
0.0050000000,0.8250000000,0,0.0000000000
0.0050000000,0.8750000000,0,0.0000000000
0.0050000000,0.9250000000,0,0.0000000000
0.0050000000,0.9750000000,0,0.0000000000
0.0150000000,0.0250000000,0,0.0000000000
0.0150000000,0.0750000000,0,0.0000000000
0.0150000000,0.1250000000,0,0.0000000000
0.0150000000,0.1750000000,0,0.0000000000
0.0150000000,0.2250000000,0,0.0000000000
0.0150000000,0.2750000000,4143,0.0000828600
0.0150000000,0.3250000000,15730,0.0003146000
0.0150000000,0.3750000000,23852,0.0004770400
0.0150000000,0.4250000000,26115,0.0005223000
0.0150000000,0.4750000000,27882,0.0005576400
0.0150000000,0.5250000000,31353,0.0006270600
0.0150000000,0.5750000000,36112,0.0007222400
0.0150000000,0.6250000000,45405,0.0009081000
0.0150000000,0.6750000000,86307,0.0017261400
0.0150000000,0.7250000000,33622,0.0006724400
0.0150000000,0.7750000000,0,0.0000000000
0.0150000000,0.8250000000,0,0.0000000000
0.0150000000,0.8750000000,0,0.0000000000
0.0150000000,0.9250000000,0,0.0000000000
0.0150000000,0.9750000000,0,0.0000000000
0.0250000000,0.0250000000,0,0.0000000000
0.0250000000,0.0750000000,0,0.0000000000
0.0250000000,0.1250000000,0,0.0000000000
0.0250000000,0.1750000000,0,0.0000000000
0.0250000000,0.2250000000,0,0.0000000000
0.0250000000,0.2750000000,4043,0.0000808600
0.0250000000,0.3250000000,15836,0.0003167200
0.0250000000,0.3750000000,23744,0.0004748800
0.0250000000,0.4250000000,26471,0.0005294200
0.0250000000,0.4750000000,28433,0.0005686600
0.0250000000,0.5250000000,31558,0.0006311600
0.0250000000,0.5750000000,36253,0.0007250600
0.0250000000,0.6250000000,46437,0.0009287400
0.0250000000,0.6750000000,78404,0.0015680800
0.0250000000,0.7250000000,39564,0.0007912800
0.0250000000,0.7750000000,0,0.0000000000
0.0250000000,0.8250000000,0,0.0000000000
0.0250000000,0.8750000000,0,0.0000000000
0.0250000000,0.9250000000,0,0.0000000000
0.0250000000,0.9750000000,0,0.0000000000
0.0350000000,0.0250000000,0,0.0000000000
0.0350000000,0.0750000000,0,0.0000000000
0.0350000000,0.1250000000,0,0.0000000000
0.0350000000,0.1750000000,0,0.0000000000
0.0350000000,0.2250000000,0,0.0000000000
0.0350000000,0.2750000000,4057,0.0000811400
0.0350000000,0.3250000000,15877,0.0003175400
0.0350000000,0.3750000000,23389,0.0004677800
0.0350000000,0.4250000000,26428,0.0005285600
0.0350000000,0.4750000000,28329,0.0005665800
0.0350000000,0.5250000000,31756,0.0006351200
0.0350000000,0.5750000000,36371,0.0007274200
0.0350000000,0.6250000000,47129,0.0009425800
0.0350000000,0.6750000000,71432,0.0014286400
0.0350000000,0.7250000000,45525,0.0009105000
0.0350000000,0.7750000000,0,0.0000000000
0.0350000000,0.8250000000,0,0.0000000000
0.0350000000,0.8750000000,0,0.0000000000
0.0350000000,0.9250000000,0,0.0000000000
0.0350000000,0.9750000000,0,0.0000000000
0.0450000000,0.0250000000,0,0.0000000000
0.0450000000,0.0750000000,0,0.0000000000
0.0450000000,0.1250000000,0,0.0000000000
0.0450000000,0.1750000000,0,0.0000000000
0.0450000000,0.2250000000,0,0.0000000000
0.0450000000,0.2750000000,4142,0.0000828400
0.0450000000,0.3250000000,15812,0.0003162400
