cos_theta_center,cos_theta_det_center,counts,omega
0.0050000000,0.0250000000,0,0.0000000000
0.0050000000,0.0750000000,0,0.0000000000
0.0050000000,0.1250000000,0,0.0000000000
0.0050000000,0.1750000000,0,0.0000000000
0.0050000000,0.2250000000,730,0.0000146000
0.0050000000,0.2750000000,12198,0.0002439600
0.0050000000,0.3250000000,22044,0.0004408800
0.0050000000,0.3750000000,26276,0.0005255200
0.0050000000,0.4250000000,28249,0.0005649800
0.0050000000,0.4750000000,30421,0.0006084200
0.0050000000,0.5250000000,33703,0.0006740600
0.0050000000,0.5750000000,38913,0.0007782600
0.0050000000,0.6250000000,48582,0.0009716400
0.0050000000,0.6750000000,85817,0.0017163400
0.0050000000,0.7250000000,42582,0.0008516400
0.0050000000,0.7750000000,0,0.0000000000
0.0050000000,0.8250000000,0,0.0000000000
0.0050000000,0.8750000000,0,0.0000000000
0.0050000000,0.9250000000,0,0.0000000000
0.0050000000,0.9750000000,0,0.0000000000
0.0150000000,0.0250000000,0,0.0000000000
0.0150000000,0.0750000000,0,0.0000000000
0.0150000000,0.1250000000,0,0.0000000000
0.0150000000,0.1750000000,0,0.0000000000
0.0150000000,0.2250000000,702,0.0000140400
0.0150000000,0.2750000000,11670,0.0002334000
0.0150000000,0.3250000000,22385,0.0004477000
0.0150000000,0.3750000000,26693,0.0005338600
0.0150000000,0.4250000000,28172,0.0005634400
0.0150000000,0.4750000000,30193,0.0006038600
0.0150000000,0.5250000000,33605,0.0006721000
0.0150000000,0.5750000000,39242,0.0007848400
0.0150000000,0.6250000000,48797,0.0009759400
0.0150000000,0.6750000000,92796,0.0018559200
0.0150000000,0.7250000000,35358,0.0007071600
0.0150000000,0.7750000000,0,0.0000000000
0.0150000000,0.8250000000,0,0.0000000000
0.0150000000,0.8750000000,0,0.0000000000
0.0150000000,0.9250000000,0,0.0000000000
0.0150000000,0.9750000000,0,0.0000000000
0.0250000000,0.0250000000,0,0.0000000000
0.0250000000,0.0750000000,0,0.0000000000
0.0250000000,0.1250000000,0,0.0000000000
0.0250000000,0.1750000000,0,0.0000000000
0.0250000000,0.2250000000,727,0.0000145400
0.0250000000,0.2750000000,12154,0.0002430800
0.0250000000,0.3250000000,22490,0.0004498000
0.0250000000,0.3750000000,26497,0.0005299400
0.0250000000,0.4250000000,28255,0.0005651000
0.0250000000,0.4750000000,30749,0.0006149800
0.0250000000,0.5250000000,33655,0.0006731000
0.0250000000,0.5750000000,38844,0.0007768800
0.0250000000,0.6250000000,49875,0.0009975000
0.0250000000,0.6750000000,85130,0.0017026000
0.0250000000,0.7250000000,41763,0.0008352600
0.0250000000,0.7750000000,0,0.0000000000
0.0250000000,0.8250000000,0,0.0000000000
0.0250000000,0.8750000000,0,0.0000000000
0.0250000000,0.9250000000,0,0.0000000000
0.0250000000,0.9750000000,0,0.0000000000
0.0350000000,0.0250000000,0,0.0000000000
0.0350000000,0.0750000000,0,0.0000000000
0.0350000000,0.1250000000,0,0.0000000000
0.0350000000,0.1750000000,0,0.0000000000
0.0350000000,0.2250000000,788,0.0000157600
0.0350000000,0.2750000000,12166,0.0002433200
0.0350000000,0.3250000000,22586,0.0004517200
0.0350000000,0.3750000000,26813,0.0005362600
0.0350000000,0.4250000000,27890,0.0005578000
0.0350000000,0.4750000000,30679,0.0006135800
0.0350000000,0.5250000000,33937,0.0006787400
0.0350000000,0.5750000000,39111,0.0007822200
0.0350000000,0.6250000000,51012,0.0010202400
0.0350000000,0.6750000000,77895,0.0015579000
0.0350000000,0.7250000000,47383,0.0009476600
0.0350000000,0.7750000000,0,0.0000000000
0.0350000000,0.8250000000,0,0.0000000000
0.0350000000,0.8750000000,0,0.0000000000
0.0350000000,0.9250000000,0,0.0000000000
0.0350000000,0.9750000000,0,0.0000000000
0.0450000000,0.0250000000,0,0.0000000000
0.0450000000,0.0750000000,0,0.0000000000
0.0450000000,0.1250000000,0,0.0000000000
0.0450000000,0.1750000000,0,0.0000000000
0.0450000000,0.2250000000,801,0.0000160200
0.0450000000,0.2750000000,12252,0.0002450400
0.0450000000,0.3250000000,22355,0.0004471000
